,Unnamed: 0,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio,Time
43,8,2023-05-14,16:00,Série A,Rodada da semana 6,dom,Em casa,E,1.0,1.0,São Paulo,0.9,0.9,34.0,41.118,Cássio,4-1-4-1,Bruno Arleu de Araujo,Relatório da Partida,Neo Química Arena,Corinthians
44,11,2023-05-28,16:00,Série A,Rodada da semana 8,dom,Em casa,V,2.0,0.0,Fluminense,1.4,1.3,30.0,,Cássio,4-4-2,Leandro Pedro Vuaden,Relatório da Partida,Neo Química Arena,Corinthians
45,14,2023-06-10,18:30,Série A,Rodada da semana 10,sáb,Em casa,E,1.0,1.0,Cuiabá,1.4,0.7,61.0,,Cássio,3-4-1-2,André Luiz Skettino Policarpo Bento,Relatório da Partida,Neo Química Arena,Corinthians
46,18,2023-07-02,11:00,Série A,Rodada da semana 13,dom,Em casa,D,0.0,1.0,Bragantino,0.6,0.9,42.0,,Cássio,4-3-3,Edina Alves Batista,Relatório da Partida,Neo Química Arena,Corinthians
47,1,2023-04-23,18:30,Série A,Rodada da semana 2,dom,Em casa,D,0.0,3.0,Fortaleza,0.7,2.6,58.0,,Gabriel,3-1-4-2,Wilton Sampaio,Relatório da Partida,Couto Pereira,Coritiba
48,2,2023-04-29,16:30,Série A,Rodada da semana 3,sáb,Em casa,E,1.0,1.0,São Paulo,1.8,1.1,33.0,,Willian Farias,3-4-3,Rafael Rodrigo Klein,Relatório da Partida,Couto Pereira,Coritiba
49,4,2023-05-11,19:00,Série A,Rodada da semana 5,qui,Em casa,E,1.0,1.0,Vasco da Gama,1.0,0.8,36.0,,Henrique,5-4-1,Ramon Abatti Abel,Relatório da Partida,Couto Pereira,Coritiba
50,6,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Em casa,D,1.0,2.0,Atlético Mineiro,1.0,1.5,35.0,,Henrique,3-5-2,Rodrigo José Pereira de Lima,Relatório da Partida,Couto Pereira,Coritiba
51,9,2023-06-10,16:00,Série A,Rodada da semana 10,sáb,Em casa,E,0.0,0.0,Santos,1.2,0.8,47.0,25.987,Henrique,3-5-2,Bruno Mota Correia,Relatório da Partida,Couto Pereira,Coritiba
52,10,2023-06-22,20:00,Série A,Rodada da semana 11,qui,Em casa,D,0.0,1.0,Internacional,1.5,0.9,51.0,,Gabriel,3-1-4-2,André Luiz Skettino Policarpo Bento,Relatório da Partida,Couto Pereira,Coritiba
53,1,2023-04-22,21:00,Série A,Rodada da semana 2,sáb,Em casa,V,1.0,0.0,Grêmio,1.5,0.8,49.0,21.605,Rafael Cabral,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,Independência,Cruzeiro
